100000 67243
94319 89242 53
21437 3147 12
82380 71542 85
58520 9507 48
49618 56419 65
8738 71446 97
86734 94099 24
39935 97638 100
79097 71213 97
89679 26542 89
50670 11090 83
88706 84320 58
11275 67485 53
99180 59043 56
77490 74648 43
51724 95143 66
12765 11048 71
77028 6994 70
2100 3464 58
62597 30789 27
53595 98669 46
31722 44469 99
23347 31747 43
12765 17088 47
86664 99789 48
79503 35987 29
88147 46979 63
60920 30657 52
38746 14401 78
30657 65431 86
99342 25937 93
4222 70374 68
62583 14844 79
46322 1430 21
38489 61348 5
54715 78776 62
37588 71181 22
24054 35128 76
38989 42585 62
29356 9873 7
34637 20796 9
99261 4493 90
80999 96861 26
25788 46899 90
43449 34050 52
78592 68865 75
35126 89797 29
50699 970 10
83723 69381 82
99795 76906 47
28560 30363 81
12089 42818 41
26371 76641 71
41484 93328 18
42428 99869 89
52933 84393 92
3058 64441 63
69381 29951 21
92452 14707 27
64441 15435 43
80674 50590 89
76397 96843 74
70374 842 63
40155 20143 76
41537 40857 65
21903 32429 82
56565 14115 33
36121 70512 47
86867 43688 89
79223 3036 87
53595 82848 92
42351 34906 27
84393 18170 11
62708 26381 46
62115 7114 60
83723 65892 67
99261 75112 56
68148 48390 17
72787 42059 22
842 17990 14
12722 50492 17
50523 12110 84
62597 41464 21
79219 78566 3
79097 47167 98
970 6504 38
58958 56807 71
3100 31218 46
48050 31883 62
49459 70437 22
27202 89906 30
20643 4172 21
82655 45432 79
21498 22593 7
59101 60457 32
5905 9339 38
39767 6715 71
66162 22652 48
29837 53020 3
31722 17078 51
49459 9503 43
29150 91397 92
2693 42947 52
32153 45176 98
87601 42697 80
55517 91723 87
82006 45115 58
53434 585 98
42384 12454 48
45196 41372 39
54912 85326 80
40452 58024 79
47050 91264 1
38775 59150 40
73645 44742 80
44476 22754 6
13092 19778 31
59043 46238 39
99795 37788 86
55423 58851 47
44963 87649 6
24497 97707 25
5781 81669 44
70437 7858 2
41291 16323 31
77490 11751 73
22098 48221 21
21437 54192 60
9140 15199 81
46322 26410 76
13094 89635 93
8508 94141 86
14401 20619 30
32429 91515 57
97821 46575 12
76397 41455 79
73905 22195 40
12105 60196 36
21836 9022 77
54679 17876 77
88397 51897 82
52233 63016 69
17454 9861 4
5905 87330 22
93737 2269 30
42927 8941 95
67488 31330 30
66414 85993 97
90839 27719 57
40388 19006 25
94725 549 8
47854 55328 89
75337 47155 57
3465 20608 81
80519 19231 14
64728 69015 44
55688 4840 57
13666 78883 96
50590 300 91
31576 62917 95
29150 34027 18
67903 26496 47
57181 44116 74
34305 14464 57
92452 40649 48
3147 70884 1
52589 71467 35
80999 61468 53
96293 21723 18
2481 78973 28
94565 54117 41
96861 89928 77
16849 1740 35
86664 60954 9
22593 60047 44
39398 69418 50
57181 21081 96
20643 72246 59
10501 78050 90
45678 86945 2
56144 24359 47
62583 60223 43
39584 36401 96
70464 89801 24
45078 15098 79
95143 14081 95
63812 38995 74
6424 70997 20
23888 60191 98
27719 95973 86
2526 30327 34
87921 49730 54
10623 34605 34
42947 80426 2
39351 55121 27
60558 27954 64
9503 90484 58
61318 97745 6
93681 14662 5
585 32556 17
39417 94397 83
19513 97708 6
39767 91123 37
14864 20641 69
87649 94542 56
99342 53769 26
89797 93613 92
73552 17639 22
5303 38789 91
27343 63294 51
70997 50018 79
7193 41088 93
83609 66134 72
94433 61043 40
70437 93205 30
71542 15890 10
84393 96099 70
52233 18213 73
8433 36761 43
79112 32725 91
42927 17943 46
71240 84124 91
16686 50313 47
56807 51676 13
77490 85007 87
20641 35890 57
59407 5863 29
48950 44897 52
25728 4647 51
12105 34283 27
549 86173 50
42585 99695 96
72648 76992 55
240 63091 76
41464 72675 60
53595 43574 47
6228 19825 86
62060 21858 93
49618 44224 48
4172 34549 24
95882 71865 72
57741 82241 51
56016 28283 32
2377 27064 51
26410 49213 45
27202 91862 66
45678 12577 16
94141 18646 17
49301 30031 81
89928 80409 67
36401 59113 62
69674 99607 97
17876 58849 1
32555 20573 34
34549 34391 46
65892 16052 34
33995 32134 88
64973 66207 68
96212 97995 91
9999 86378 53
2377 68424 46
94058 95251 33
51897 14775 31
14057 18640 83
49459 89216 94
8508 55881 2
27954 6849 65
79097 11496 6
20619 82737 39
62060 42195 64
11751 61471 48
82791 97570 52
73207 73742 86
22031 18382 6
17876 53022 88
63091 16321 14
85932 20826 28
58971 45537 97
53595 97686 96
73671 2260 72
82655 76843 83
56807 72286 95
78205 7336 75
89797 3215 63
94974 52706 91
59150 27747 96
49860 66186 28
26496 8037 72
36086 85699 69
15547 73155 92
81633 24405 40
45196 24519 40
96843 378 51
92452 15007 29
6502 79312 71
60171 42533 86
64966 82521 29
36407 46145 52
80305 77905 84
60117 18283 16
24223 15806 97
61318 30354 63
32555 50333 62
74576 28703 40
1380 67101 64
72952 43514 38
10792 11868 87
96099 42370 73
46575 15674 70
48033 22571 87
32429 68536 5
17454 62674 93
18170 74008 57
2406 75713 36
41372 45565 15
86439 12529 66
14057 46386 67
39242 55970 34
6600 75419 14
61807 80399 62
34637 28250 55
7683 71514 83
93409 12559 81
9892 1489 82
91515 64674 8
7592 53880 41
54679 33092 45
56144 92985 97
23888 18866 82
16686 96062 92
78630 64173 87
18646 98866 6
29951 6683 85
14876 44449 85
76641 57547 67
11093 77207 27
29464 4527 49
45122 61218 65
36242 80953 64
72286 99658 82
11947 43442 67
59150 93722 35
8459 57037 8
25828 97792 63
68922 17128 63
81669 5915 88
66689 7585 11
11550 49565 6
42195 57926 87
43146 50362 92
40857 92786 39
79219 97262 25
10147 90080 79
36407 82546 20
79312 24512 87
99228 93375 65
38989 84901 28
77886 6762 15
15098 86977 30
54192 51562 27
99795 19775 31
38611 34425 45
72675 10661 10
21723 78970 87
58971 48992 91
36761 30288 48
49687 19635 48
9167 90057 68
60681 91747 12
81328 40053 19
87330 55580 45
63163 71229 55
38789 31236 35
31330 89790 58
79741 78323 98
4097 92049 8
61471 39117 49
46975 39904 72
82521 55759 53
15098 68783 5
99342 5766 88
16323 25564 71
79122 73291 27
64758 53093 64
72286 33218 82
70300 96693 40
65921 70852 69
96344 81865 97
43750 55710 16
26759 6930 67
99342 18367 89
23347 7582 45
95167 34207 77
87480 70811 50
26542 48710 26
10903 21660 23
12261 3432 9
53554 86448 3
57741 63 35
34027 14408 76
6762 16567 51
8401 45956 93
55733 71472 62
28703 35518 22
55881 70500 94
23158 46978 41
97680 21945 65
28703 38668 74
20062 48666 53
41372 84813 73
78970 37341 28
55881 15384 94
94944 69995 40
74648 46983 74
79219 43644 13
96010 10469 42
91696 66019 17
55121 57724 34
60753 39834 75
82252 85975 6
63163 49164 47
46386 53802 54
2874 60933 83
40053 63257 8
50523 43843 2
59407 4144 16
47251 8076 75
41390 43902 17
95340 6862 56
925 86222 40
94438 60441 91
27064 40441 82
17078 26505 18
76843 50063 36
73184 40859 23
70512 34088 12
62708 60968 39
94141 8310 36
26381 10429 95
47739 71643 59
10792 57162 24
23347 62228 29
48390 56490 34
94141 12099 16
34906 98172 38
53554 25575 8
62917 92142 91
40012 61422 87
7683 86133 56
970 15888 100
94058 20309 15
34284 50697 3
99695 46784 31
99261 48232 25
63498 34199 81
98797 58607 25
66186 54248 60
7592 80904 58
42351 85370 1
93993 14782 85
41464 73249 31
16201 40019 66
96375 43924 85
2898 50708 80
84320 67283 27
71034 2227 22
78566 41976 45
82308 17361 46
71865 59540 13
22195 60394 4
32198 97819 9
10792 15223 1
42697 11233 84
11093 13856 65
13666 96568 82
49459 73788 21
15888 11055 45
20498 97116 36
56713 35884 95
85326 43493 72
80674 33019 46
62583 86442 65
28560 32137 20
6600 75837 69
970 91350 84
42940 3756 26
40452 21631 3
39242 24574 11
34906 15056 84
54192 92602 21
55121 80318 28
15098 5764 81
40053 20787 84
33476 46482 52
1430 62496 31
4493 69282 50
25828 39396 20
23347 39245 71
6283 75408 76
13651 41503 71
82466 21726 63
96715 4512 54
47391 97848 74
49969 60169 51
48232 47536 43
35987 9179 25
30363 3000 16
11947 50175 93
14775 96215 73
81669 60286 76
27638 45961 18
32153 55555 83
41225 19531 91
71643 43331 28
11090 32685 44
49301 67194 28
65921 4712 46
68321 2514 70
99228 11533 100
64942 32201 31
44733 204 43
77780 32877 15
6979 1600 64
34305 41567 57
19465 65272 2
82521 56133 90
13666 29914 9
62917 89027 60
79112 44054 77
46837 31337 68
44963 52202 37
1380 29149 25
40857 27421 79
87926 82920 4
61422 95631 66
90484 77088 24
47957 84290 92
53022 42676 18
13666 83794 97
73249 58914 90
32685 82300 9
61471 63156 21
46899 29560 4
49730 95958 19
13020 95184 19
77905 72149 100
96861 28818 84
91268 37002 40
6930 30594 70
47758 30531 44
4527 6482 80
70437 94947 47
63294 79885 8
61348 10062 26
91881 39902 93
6482 62725 54
17128 53983 99
48710 96192 74
1530 50325 6
90926 73623 81
91397 81764 30
31716 70 83
81865 95428 8
43816 70509 79
74576 68055 69
96686 14188 16
67283 92853 92
11517 41376 20
92049 27553 82
95143 35382 55
49301 16729 64
9167 9629 28
26496 38338 34
25828 59029 15
51562 58568 45
97075 31416 19
25378 80683 27
29834 85572 92
8433 92915 28
26090 3592 15
30789 65284 44
13666 22273 44
86274 76931 96
86448 88517 34
72681 56397 12
13020 7612 52
70300 93652 48
71034 8996 41
91350 4519 83
76239 66239 76
43442 28706 50
67326 66311 58
75430 73165 47
14464 42671 66
71542 37104 22
5832 72267 70
85572 93032 62
2481 61634 52
80318 65514 80
21660 47229 86
39351 72273 77
27202 87123 21
7858 68087 71
15435 53504 61
59407 30590 16
25128 95270 37
54073 82279 30
40857 54827 97
55733 67875 46
87084 66625 50
15435 23929 94
26496 63410 36
96686 64994 35
97873 58835 16
56133 25228 75
17990 71745 60
60558 87386 42
90839 50937 32
21032 36596 41
93613 8452 21
5766 45921 28
22733 54380 77
15499 67695 2
55328 45680 84
91264 8666 87
7612 39821 66
3432 51383 55
32909 36320 87
40136 81699 39
25683 73635 7
3756 36278 7
96051 49848 20
77780 76779 47
72286 24605 63
47854 49818 95
71467 59281 99
31218 50999 92
97159 19841 30
9650 38595 47
68321 33799 92
67903 56561 98
37002 81075 66
60169 88358 9
2524 87940 93
63177 9394 58
2269 48868 64
99658 20391 18
14081 47235 15
42671 53483 34
55328 91931 54
17454 94698 64
97848 37112 1
10256 36714 26
77222 74871 1
47251 60649 94
240 13273 58
5832 50171 1
17088 49170 95
4846 50231 78
96344 79194 8
99153 80742 38
59980 6452 50
70811 13309 53
69366 17955 70
48199 29830 45
50999 2132 17
63257 7304 27
86378 54432 15
93460 63372 50
42818 57689 29
96051 75590 59
65921 95915 38
58568 13341 60
58568 38788 19
82300 7440 23
56713 70799 24
74323 18910 96
27458 92730 67
71470 34900 41
9167 20185 38
27181 91601 63
57724 8797 44
79191 70778 75
8797 75239 94
65921 6144 25
77886 3109 20
48666 14557 59
17078 40143 93
49164 38807 93
52589 40106 58
10903 74375 89
2100 12204 26
97848 6639 58
50670 46249 85
73552 23306 80
98879 98987 34
31716 23648 80
96223 33211 83
22733 8220 87
94099 33266 83
3000 46099 49
39983 88674 46
27553 88428 62
60223 64304 28
8996 34552 2
39242 26028 68
45961 92901 70
31716 17140 26
61634 77989 37
50670 61968 76
82920 27498 88
6979 76537 62
63156 91750 38
85257 14569 25
12261 48761 72
89019 36502 39
10661 36949 12
6930 2324 31
64674 83234 27
19775 60334 27
98653 39517 95
2514 15259 69
18367 96740 92
8310 40371 91
23818 64634 8
82700 49928 48
61468 27457 79
88147 67721 66
74648 30032 4
74084 91022 92
12099 6547 49
79885 31266 99
47854 66772 18
32198 51023 85
78013 69834 38
68922 15638 23
67563 72188 10
42716 70052 97
62115 4044 90
43449 43165 32
25683 8116 57
85975 52075 96
94698 40448 39
94947 25729 3
48033 22139 2
97819 64476 21
17140 48762 28
57724 97327 14
77042 3160 51
83794 72752 89
96740 27208 61
85896 28254 21
34906 63195 6
67048 58258 74
80426 54489 7
75579 64540 44
63163 79461 36
25348 60557 51
79219 86823 3
28562 1357 21
54679 36619 99
92543 87307 58
91475 15817 64
97708 12199 22
88428 4122 20
49687 56580 54
7858 76780 25
25410 11027 6
48762 39005 42
82655 18399 77
50492 21581 89
842 13428 12
69443 49449 14
91475 1581 50
49939 87557 66
94433 64106 71
36948 23077 15
98923 67275 93
14844 82757 2
84813 13407 43
67485 69729 80
970 82491 6
14876 66285 70
66239 44320 38
50018 50155 94
87649 87136 12
17053 65652 37
18382 78054 58
44441 99075 88
73635 60409 17
42384 8569 29
75337 91628 21
65544 78343 67
35987 4920 72
73788 11442 31
95184 94638 93
6862 21796 10
60457 97757 18
92853 65453 13
3147 43401 47
28818 77457 72
80953 96753 40
41291 94571 84
15418 85090 9
91747 32013 55
24630 91335 27
84950 52081 64
10647 42449 29
94571 36273 64
21631 34663 53
99228 87820 66
71181 84999 56
23929 57601 95
67875 47230 10
13407 47063 32
70852 66988 65
6979 6441 65
27421 37827 63
70512 91091 52
89906 1729 22
3100 38299 48
83403 49728 93
29951 34417 99
43659 58077 96
13407 68572 25
72752 89584 8
54117 36201 46
34284 31665 16
99789 54651 40
73249 15209 99
89499 87728 33
43514 79293 75
84283 93848 70
38668 59059 97
82791 72720 60
55970 23151 82
69366 96775 19
33019 47053 74
58958 15088 99
33476 96237 79
80742 52569 70
21081 81109 64
40053 31542 100
53161 1191 6
24054 9997 8
65921 70691 63
30354 96466 70
49848 35773 38
56565 14898 25
13046 59454 15
91091 33445 4
61422 53036 96
70500 35624 22
31722 13222 91
60558 84278 90
77088 70971 46
12110 96955 6
65431 11885 77
44320 28059 40
65431 94719 48
2693 17510 90
91601 36297 39
58958 19133 98
24223 748 2
63177 41962 14
57689 83332 63
47758 33165 65
78013 80624 91
85413 14385 78
97262 66514 10
54679 21964 53
56307 31475 82
62917 56262 16
93238 34377 66
18866 19633 93
82791 16599 5
42676 68637 75
95654 30621 93
20498 51144 23
79741 43987 51
41789 6336 15
14569 75920 5
4846 87339 70
45678 4831 68
65544 58272 79
47685 76988 70
73645 64252 84
41976 92957 40
88631 95702 10
40143 84516 5
85373 12696 22
32556 27194 87
17053 92970 4
97075 55036 73
85370 29303 78
87307 47485 14
47235 49423 35
29837 59423 22
26627 93159 68
15223 9794 6
81109 52538 18
91881 21226 80
84124 16785 79
16543 7013 51
93737 7745 28
13812 93755 93
30789 18680 15
40705 81648 97
6930 15969 62
56256 84167 97
88428 78772 43
56561 88354 82
53504 61711 32
91397 98903 36
21498 85092 44
89242 34117 49
36201 13468 69
35126 49440 13
77165 18705 99
11664 70136 86
54676 5596 69
41474 7312 78
71778 22592 60
49309 77908 1
43659 3935 95
24630 40642 12
16599 6957 59
65459 86221 70
22612 6429 48
99789 85212 92
7582 61320 99
96740 75453 3
92730 45412 20
11208 77785 17
42585 24390 29
98172 31197 47
2238 33112 83
14401 55825 32
31337 40083 50
13666 84941 15
53751 88852 81
2514 87948 38
6336 71863 72
